country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,country_idsum,country_idcount,country_idmean,country_packsum,country_packcount,country_packmean,country_quantitysum,country_quantitycount,country_quantitymean,country_valuesum,country_valuecount,country_valuemean,country_pricesum,country_pricecount,country_pricemean,country_pricesum,country_pricecount,country_pricemean,country_designationsum,country_designationcount,country_designationmean,country_usdsum,country_usdcount,country_usdmean,country_calculatedsum,country_calculatedcount,country_calculatedmean,country_calculatedsum,country_calculatedcount,country_calculatedmean
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,Bio-Rad Laboratories,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Genie,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,"Pacific Biotech, Thailand",Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,Bio-Rad Laboratories,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Genie,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,"OMEGA Diagnostics, UK",OMEGA DIAGNOSTICS LTD,"HIV 1/2, Visitect Kit",Visitect,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,"Standard Diagnostics, Korea","Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit (no accessories)",Bioline,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,61792,14,4413.714285714285,855,14,61.07142857142857,29553,14,2110.9285714285716,370713.7,14,26479.55,1066.1,14,76.14999999999999,16.94,14,1.2100000000000002,13,14,0.9285714285714286,658.56,14,47.04,55207.91405864317,14,3943.4224327602265,855403.1041212077,14,61100.22172294341
